"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hapcl_c","hprecalc13","hprecalc13_c","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","hacadpr13","hacadpr13_c","tcare","tcare_c","firstgen","re_all","living18","sex","StemMaj","StemMaj_c","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band","psw"
1,6,-0.527,7,8,1.9552,0,1,0.7532,0,-0.3436,2,-2.488,3,0.699,0,-9.7624,0,-2.9496,1,"Other/Multiracial/Unknown","On-campus (residence hall)","Female",0,-0.2482,47,1,3.5,3.41544,3.41544,-8,-1.3,-0.3,2,2,2,3,4,4,4,3,4,3,4,3,3,3,3,2,2,3,3,3,2,5,5,5,NA,5,1363,2,4,1,8,"Multiracial Bridge-Builder","FASt_12plus",1.90341031645674
0,7,0.473,7,5,-1.0448,1,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,3,-6.7624,0,-2.9496,1,"Other/Multiracial/Unknown","With family (commuting)","Female",1,0.7518,1,0,-1.1,-1.18456,0,-15,-2,-1,3,2,3,4,4,4,3,4,3,4,3,3,4,4,3,4,4,4,4,NA,4,7,7,7,7,7,1364,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11",0.591852000798551
1,8,1.473,7,5,-1.0448,1,0,-0.2468,0,-0.3436,4,-0.488,1,-1.301,3,-6.7624,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,4,0,-0.8,-0.88456,0,-8,-1.3,-0.3,2,2,2,4,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,6,5,6,6,5,1365,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.635190205792298
1,8,1.473,7,6,-0.0448000000000004,0,1,0.7532,0,-0.3436,6,1.512,1,-1.301,8,-1.7624,0,-2.9496,1,"White","Off-campus (rent/apartment)","Male",1,0.7518,4,0,-0.8,-0.88456,0,22,1.7,2.7,2,2,3,2,2,1,1,2,3,3,3,2,3,2,2,3,3,3,3,3,4,4,4,4,4,3,1366,1,2,1,13,"White Working-Class Striver","non_FASt_1_11",0.86177092816044
1,6,-0.527,5,6,-0.0448000000000004,0,0,-0.2468,1,0.6564,6,1.512,3,0.699,3,-6.7624,0,-2.9496,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,8,0,-0.4,-0.48456,0,-12,-1.7,-0.7,4,3,4,3,3,4,4,3,1,2,2,2,2,4,4,3,4,4,3,4,4,6,6,6,6,6,1367,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.698439615158905
0,8,1.473,7,5,-1.0448,0,0,-0.2468,0,-0.3436,7,2.512,3,0.699,23,13.2376,0,-2.9496,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,7,0,-0.5,-0.58456,0,13,0.8,1.8,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,1368,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.763303260836184
0,6,-0.527,7,5,-1.0448,1,0,-0.2468,1,0.6564,5,0.512,3,0.699,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",1,0.7518,8,0,-0.4,-0.48456,0,30,2.5,3.5,2,2,2,2,3,3,3,3,4,4,3,4,3,3,3,4,4,4,4,4,5,4,NA,4,4,4,1369,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11",0.68249987809334
1,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,6,1.512,3,0.699,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,1,0,-1.1,-1.18456,0,5,0,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,NA,5,6,6,6,6,1370,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.658628218935447
0,8,1.473,7,5,-1.0448,1,1,0.7532,0,-0.3436,7,2.512,1,-1.301,8,-1.7624,3,0.0503999999999998,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,32,1,2,1.91544,1.91544,-11,-1.6,-0.6,2,2,2,3,4,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,6,6,6,6,6,1371,2,5,1,1,"Latina Commuter Caretaker","FASt_12plus",1.75761398908236
0,8,1.473,7,5,-1.0448,1,1,0.7532,1,0.6564,5,0.512,1,-1.301,13,3.2376,23,20.0504,0,"Asian","Off-campus (rent/apartment)","Male",1,0.7518,9,0,-0.3,-0.38456,0,-3,-0.8,0.2,4,4,4,2,2,2,3,2,3,4,3,3,3,4,4,1,NA,2,2,2,2,6,7,7,7,7,1372,1,3,1,10,"Continuing-Gen Cruiser","non_FASt_1_11",0.880859865157709
1,6,-0.527,7,5,-1.0448,0,0,-0.2468,0,-0.3436,5,0.512,2,-0.301,8,-1.7624,0,-2.9496,1,"Other/Multiracial/Unknown","With family (commuting)","Female",0,-0.2482,11,0,-0.1,-0.18456,0,-15,-2,-1,3,3,3,3,2,3,3,3,3,3,3,3,4,2,2,NA,3,3,3,3,2,6,5,6,5,5,1373,1,3,1,8,"Multiracial Bridge-Builder","non_FASt_1_11",0.574935460568001
0,7,0.473,7,6,-0.0448000000000004,0,1,0.7532,0,-0.3436,6,1.512,2,-0.301,13,3.2376,0,-2.9496,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,1,0,-1.1,-1.18456,0,27,2.2,3.2,3,3,2,4,4,4,4,4,3,3,3,3,4,3,3,2,2,2,NA,2,2,4,5,4,4,5,1374,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.821781905293793
1,7,0.473,7,6,-0.0448000000000004,1,1,0.7532,0,-0.3436,5,0.512,1,-1.301,3,-6.7624,0,-2.9496,0,"White","On-campus (residence hall)","Female",1,0.7518,8,0,-0.4,-0.48456,0,16,1.1,2.1,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,4,7,7,7,7,7,1375,1,2,1,6,"White Residential Traditional","non_FASt_1_11",0.766026100266911
0,6,-0.527,7,7,0.9552,1,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,13,3.2376,0,-2.9496,1,"Asian","Off-campus (rent/apartment)","Male",0,-0.2482,8,0,-0.4,-0.48456,0,-15,-2,-1,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,4,5,5,5,5,4,6,NA,6,6,6,1376,1,2,1,4,"Asian First-Gen Navigator","non_FASt_1_11",0.619437964875231
0,7,0.473,5,8,1.9552,0,0,-0.2468,1,0.6564,5,0.512,1,-1.301,18,8.2376,0,-2.9496,1,"Black/African American","Off-campus (rent/apartment)","Male",0,-0.2482,9,0,-0.3,-0.38456,0,28,2.3,3.3,3,3,3,3,3,2,2,3,2,3,2,2,2,3,2,4,4,4,4,4,4,5,5,6,5,5,1377,1,2,1,12,"Black Male Striver","non_FASt_1_11",0.847230257353064
1,8,1.473,7,5,-1.0448,0,0,-0.2468,0,-0.3436,2,-2.488,2,-0.301,23,13.2376,0,-2.9496,1,"White","Off-campus (rent/apartment)","Female",0,-0.2482,4,0,-0.8,-0.88456,0,-13,-1.8,-0.8,3,2,2,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,3,4,6,6,6,6,6,1378,1,2,1,13,"White Working-Class Striver","non_FASt_1_11",0.678590782150158
1,8,1.473,7,7,0.9552,0,0,-0.2468,1,0.6564,6,1.512,2,-0.301,8,-1.7624,0,-2.9496,0,"Asian","With family (commuting)","Male",1,0.7518,7,0,-0.5,-0.58456,0,-14,-1.9,-0.9,3,3,3,2,2,3,2,3,3,3,3,3,3,4,3,NA,4,4,4,NA,NA,6,5,5,5,5,1379,1,2,1,3,"Asian High-Pressure Achiever","non_FASt_1_11",0.857760626275158
0,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,4,-0.488,4,1.699,13,3.2376,8,5.0504,0,"Other/Multiracial/Unknown","On-campus (residence hall)","Male",0,-0.2482,4,0,-0.8,-0.88456,0,34,2.9,3.9,2,2,2,3,2,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,5,6,6,6,5,1380,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11",0.621158640024852
1,6,-0.527,7,7,0.9552,1,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,11,0,-0.1,-0.18456,0,-5,-1,0,4,4,4,2,2,3,2,3,3,3,3,3,2,4,4,2,4,3,4,4,4,6,7,7,6,6,1381,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.601463060118575
0,8,1.473,7,5,-1.0448,1,1,0.7532,0,-0.3436,6,1.512,2,-0.301,3,-6.7624,0,-2.9496,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,2,0,-1,-1.08456,0,5,0,1,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,3,3,6,7,7,7,7,1382,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.809427940419972
1,6,-0.527,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,6,1.512,2,-0.301,3,-6.7624,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,4,0,-0.8,-0.88456,0,2,-0.3,0.7,2,2,2,3,3,3,3,4,3,3,3,2,2,3,3,5,4,5,4,4,4,4,3,4,3,3,1383,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11",0.592851761821145
1,8,1.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,3,-1.488,3,0.699,28,18.2376,0,-2.9496,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,8,0,-0.4,-0.48456,0,-5,-1,0,3,3,3,3,3,3,4,3,2,2,1,2,1,2,3,4,4,4,4,4,4,3,NA,3,3,3,1384,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.738480659713522
0,5,-1.527,7,7,0.9552,0,0,-0.2468,1,0.6564,6,1.512,2,-0.301,3,-6.7624,0,-2.9496,1,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Male",1,0.7518,0,0,-1.2,-1.28456,0,3,-0.2,0.8,3,3,3,3,2,3,3,2,2,2,2,2,2,3,4,3,3,3,3,4,3,6,5,5,5,5,1385,0,1,0,8,"Multiracial Bridge-Builder","non_DE",0.674960467976336
0,8,1.473,7,5,-1.0448,1,0,-0.2468,0,-0.3436,3,-1.488,2,-0.301,8,-1.7624,8,5.0504,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,35,1,2.3,2.21544,2.21544,23,1.8,2.8,3,2,2,2,2,2,2,3,2,3,2,2,2,3,2,5,5,6,5,6,5,4,NA,4,4,4,1386,2,4,1,1,"Latina Commuter Caretaker","FASt_12plus",1.98271229856106
1,6,-0.527,6,5,-1.0448,1,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,8,-1.7624,3,0.0503999999999998,1,"Hispanic/Latino","With family (commuting)","Female",1,0.7518,6,0,-0.6,-0.68456,0,-15,-2,-1,2,2,2,2,2,2,3,3,2,2,1,2,1,2,3,3,3,3,3,3,2,4,3,3,3,3,1387,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.555703210088725
0,7,0.473,6,5,-1.0448,0,0,-0.2468,0,-0.3436,3,-1.488,2,-0.301,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",1,0.7518,5,0,-0.7,-0.78456,0,-9,-1.4,-0.4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,5,5,5,5,5,1388,1,3,1,2,"Latino Off-Campus Working","non_FASt_1_11",0.594542698993406
1,6,-0.527,7,8,1.9552,0,1,0.7532,1,0.6564,4,-0.488,2,-0.301,3,-6.7624,8,5.0504,0,"White","On-campus (residence hall)","Female",1,0.7518,2,0,-1,-1.08456,0,10,0.5,1.5,3,3,3,2,2,2,2,3,2,3,2,2,2,3,3,3,2,3,3,3,3,7,7,7,7,7,1389,1,2,1,6,"White Residential Traditional","non_FASt_1_11",0.835370354951905
1,5,-1.527,6,6,-0.0448000000000004,0,0,-0.2468,1,0.6564,4,-0.488,2,-0.301,3,-6.7624,0,-2.9496,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,7,0,-0.5,-0.58456,0,-6,-1.1,-0.1,4,4,4,2,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,3,3,6,7,7,7,7,1390,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.617309277673834
0,5,-1.527,7,6,-0.0448000000000004,1,1,0.7532,0,-0.3436,5,0.512,3,0.699,18,8.2376,0,-2.9496,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,35,1,2.3,2.21544,2.21544,27,2.2,3.2,2,3,2,4,3,4,3,3,2,1,1,2,2,2,3,4,4,5,4,4,6,5,4,5,4,4,1391,2,4,1,1,"Latina Commuter Caretaker","FASt_12plus",1.88023801007534
1,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,3,-6.7624,0,-2.9496,0,"Hispanic/Latino","With family (commuting)","Female",1,0.7518,61,1,4.9,4.81544,4.81544,29,2.4,3.4,3,2,2,4,4,4,3,4,2,2,2,2,3,3,4,4,4,4,4,3,3,5,5,5,5,5,1392,2,4,1,1,"Latina Commuter Caretaker","FASt_12plus",1.98362651537145
0,7,0.473,7,6,-0.0448000000000004,1,1,0.7532,0,-0.3436,4,-0.488,2,-0.301,13,3.2376,3,0.0503999999999998,1,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Male",0,-0.2482,9,0,-0.3,-0.38456,0,7,0.2,1.2,4,4,3,3,3,2,3,3,1,2,2,1,1,3,3,3,4,3,4,4,4,5,5,6,6,6,1393,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11",0.775206712978594
1,7,0.473,7,8,1.9552,0,0,-0.2468,0,-0.3436,4,-0.488,1,-1.301,8,-1.7624,3,0.0503999999999998,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,37,1,2.5,2.41544,2.41544,-5,-1,0,3,3,3,3,3,3,4,3,4,4,4,4,4,3,3,4,4,5,5,5,4,5,5,5,6,5,1394,2,6,1,9,"Hispanic On-Campus Transitioner","FASt_12plus",1.93431174726388
0,6,-0.527,6,5,-1.0448,0,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,8,-1.7624,3,0.0503999999999998,0,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,11,0,-0.1,-0.18456,0,14,0.9,1.9,2,3,2,3,3,3,2,4,4,4,4,4,4,3,3,2,2,2,NA,NA,2,5,5,4,4,5,1395,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.552156390787105
1,5,-1.527,5,8,1.9552,0,0,-0.2468,1,0.6564,5,0.512,3,0.699,3,-6.7624,0,-2.9496,1,"Other/Multiracial/Unknown","On-campus (residence hall)","Male",0,-0.2482,1,0,-1.1,-1.18456,0,11,0.6,1.6,1,1,2,3,3,3,4,3,3,4,4,3,3,3,3,3,3,2,3,3,2,6,6,6,6,6,1396,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11",0.677173422192082
1,6,-0.527,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,18,8.2376,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2482,10,0,-0.2,-0.28456,0,-4,-0.9,0.1,4,4,4,3,4,3,3,4,3,3,2,2,3,3,3,4,4,3,4,NA,3,6,6,6,6,6,1397,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.616156633076722
0,7,0.473,5,8,1.9552,1,0,-0.2468,0,-0.3436,5,0.512,1,-1.301,3,-6.7624,0,-2.9496,0,"Other/Multiracial/Unknown","On-campus (residence hall)","Female",1,0.7518,25,1,1.3,1.21544,1.21544,5,0,1,3,3,3,3,4,3,3,3,2,3,2,1,3,3,3,4,4,4,4,4,5,4,4,4,5,5,1398,2,6,1,8,"Multiracial Bridge-Builder","FASt_12plus",1.92376292425418
1,5,-1.527,7,5,-1.0448,0,0,-0.2468,0,-0.3436,2,-2.488,2,-0.301,8,-1.7624,0,-2.9496,1,"White","Off-campus (rent/apartment)","Male",0,-0.2482,6,0,-0.6,-0.68456,0,11,0.6,1.6,3,3,4,3,3,3,2,3,2,3,2,3,3,3,3,2,2,2,2,2,2,4,5,5,5,6,1399,1,3,1,13,"White Working-Class Striver","non_FASt_1_11",0.491102810508093
1,6,-0.527,7,5,-1.0448,0,1,0.7532,1,0.6564,3,-1.488,2,-0.301,18,8.2376,3,0.0503999999999998,1,"Asian","Off-campus (rent/apartment)","Male",0,-0.2482,19,1,0.7,0.61544,0.61544,3,-0.2,0.8,4,4,4,3,3,3,3,3,3,2,2,3,2,3,3,3,2,3,2,2,1,5,6,6,5,5,1400,2,6,1,10,"Continuing-Gen Cruiser","FASt_12plus",1.77803629275405
1,8,1.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,3,-1.488,1,-1.301,8,-1.7624,18,15.0504,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,32,1,2,1.91544,1.91544,2,-0.3,0.7,2,2,2,3,3,2,2,3,2,2,3,2,2,3,3,5,5,5,5,5,4,4,5,4,5,5,1401,2,6,1,1,"Latina Commuter Caretaker","FASt_12plus",1.99093404310234
0,6,-0.527,7,5,-1.0448,0,1,0.7532,1,0.6564,5,0.512,2,-0.301,8,-1.7624,0,-2.9496,0,"White","Off-campus (rent/apartment)","Male",0,-0.2482,40,1,2.8,2.71544,2.71544,28,2.3,3.3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,2,NA,1,7,7,7,7,7,1402,2,7,1,10,"Continuing-Gen Cruiser","FASt_12plus",1.77396497607314
0,7,0.473,7,7,0.9552,0,1,0.7532,0,-0.3436,5,0.512,1,-1.301,13,3.2376,0,-2.9496,0,"Other/Multiracial/Unknown","With family (commuting)","Female",0,-0.2482,3,0,-0.9,-0.98456,0,13,0.8,1.8,3,3,3,2,3,2,2,4,2,2,2,2,3,2,3,4,4,4,NA,4,3,6,6,6,5,6,1403,1,2,1,8,"Multiracial Bridge-Builder","non_FASt_1_11",0.829175975648917
0,6,-0.527,7,7,0.9552,1,0,-0.2468,0,-0.3436,2,-2.488,2,-0.301,3,-6.7624,0,-2.9496,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2482,7,0,-0.5,-0.58456,0,31,2.6,3.6,3,2,3,2,2,2,2,2,2,3,2,2,3,2,3,4,4,4,4,4,4,4,5,5,5,6,1404,1,2,1,2,"Latino Off-Campus Working","non_FASt_1_11",0.554861754129126
1,5,-1.527,6,5,-1.0448,0,0,-0.2468,0,-0.3436,3,-1.488,2,-0.301,18,8.2376,0,-2.9496,0,"White","Off-campus (rent/apartment)","Female",1,0.7518,5,0,-0.7,-0.78456,0,4,-0.1,0.9,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,4,4,5,5,5,5,6,5,5,5,5,1405,1,2,1,13,"White Working-Class Striver","non_FASt_1_11",0.539717931758003
0,5,-1.527,6,5,-1.0448,0,0,-0.2468,0,-0.3436,4,-0.488,2,-0.301,3,-6.7624,3,0.0503999999999998,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,4,0,-0.8,-0.88456,0,-10,-1.5,-0.5,3,2,3,3,2,2,3,2,3,3,2,2,3,3,3,3,4,4,4,5,5,4,4,NA,4,4,1406,1,3,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.4941874018095
1,5,-1.527,6,6,-0.0448000000000004,1,1,0.7532,0,-0.3436,4,-0.488,3,0.699,3,-6.7624,3,0.0503999999999998,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,2,0,-1,-1.08456,0,-6,-1.1,-0.1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,5,4,4,4,4,4,5,5,5,4,5,1407,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.632905120288591
1,5,-1.527,7,7,0.9552,1,0,-0.2468,0,-0.3436,6,1.512,4,1.699,8,-1.7624,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,1,0,-1.1,-1.18456,0,3,-0.2,0.8,4,3,4,3,4,3,3,3,4,3,4,4,4,4,4,2,2,2,2,3,2,6,6,6,6,5,1408,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.585118954808965
1,8,1.473,7,6,-0.0448000000000004,1,0,-0.2468,0,-0.3436,5,0.512,3,0.699,8,-1.7624,0,-2.9496,0,"Hispanic/Latino","On-campus (residence hall)","Male",1,0.7518,75,1,6.3,6.21544,6.21544,-6,-1.1,-0.1,3,3,3,3,4,3,4,3,2,3,2,2,3,3,3,5,NA,4,5,4,4,5,5,5,5,4,1409,2,5,1,9,"Hispanic On-Campus Transitioner","FASt_12plus",1.89988124636836
1,5,-1.527,6,7,0.9552,0,0,-0.2468,1,0.6564,5,0.512,3,0.699,23,13.2376,0,-2.9496,0,"Black/African American","On-campus (residence hall)","Female",0,-0.2482,5,0,-0.7,-0.78456,0,21,1.6,2.6,3,3,2,3,3,3,2,3,2,1,3,2,2,3,3,3,3,3,3,NA,3,5,5,5,5,5,1410,1,1,0,5,"Black Campus Connector","non_FASt_1_11",0.732888665688155
1,7,0.473,6,5,-1.0448,1,0,-0.2468,1,0.6564,5,0.512,4,1.699,3,-6.7624,3,0.0503999999999998,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2482,0,0,-1.2,-1.28456,0,10,0.5,1.5,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,NA,3,3,3,3,3,5,5,5,5,5,1411,0,1,0,9,"Hispanic On-Campus Transitioner","non_DE",0.699970714578844
0,6,-0.527,6,6,-0.0448000000000004,1,1,0.7532,0,-0.3436,7,2.512,3,0.699,8,-1.7624,0,-2.9496,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,1,0,-1.1,-1.18456,0,34,2.9,3.9,2,2,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,3,3,3,5,6,5,5,6,1412,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.763139908173521
0,6,-0.527,7,6,-0.0448000000000004,1,0,-0.2468,1,0.6564,2,-2.488,1,-1.301,0,-9.7624,13,10.0504,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",1,0.7518,6,0,-0.6,-0.68456,0,26,2.1,3.1,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2,5,5,5,5,4,5,5,5,5,5,6,1413,1,1,0,2,"Latino Off-Campus Working","non_FASt_1_11",0.588646970735635
1,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,7,2.512,1,-1.301,8,-1.7624,0,-2.9496,0,"Asian","With family (commuting)","Female",1,0.7518,50,1,3.8,3.71544,3.71544,27,2.2,3.2,2,2,2,3,3,3,3,4,3,4,3,3,4,3,3,4,4,4,4,4,5,4,3,4,4,4,1414,2,4,1,3,"Asian High-Pressure Achiever","FASt_12plus",1.91736293780001
0,6,-0.527,6,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,6,1.512,2,-0.301,3,-6.7624,18,15.0504,1,"Hispanic/Latino","On-campus (residence hall)","Female",1,0.7518,34,1,2.2,2.11544,2.11544,19,1.4,2.4,4,3,3,3,2,2,3,2,3,3,2,3,2,3,3,2,1,1,2,1,1,6,5,5,5,5,1415,2,7,1,9,"Hispanic On-Campus Transitioner","FASt_12plus",2.05072510919296
0,6,-0.527,6,7,0.9552,0,0,-0.2468,0,-0.3436,3,-1.488,3,0.699,3,-6.7624,0,-2.9496,0,"Asian","With family (commuting)","Female",1,0.7518,7,0,-0.5,-0.58456,0,-8,-1.3,-0.3,2,3,2,3,3,3,3,3,2,2,2,2,2,3,3,5,5,5,5,5,6,5,4,4,4,4,1416,1,1,0,3,"Asian High-Pressure Achiever","non_FASt_1_11",0.572725086137175
0,6,-0.527,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,6,1.512,3,0.699,8,-1.7624,3,0.0503999999999998,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2482,10,0,-0.2,-0.28456,0,33,2.8,3.8,2,3,3,3,2,3,4,2,2,2,3,2,2,3,4,4,4,5,5,5,5,6,NA,6,6,6,1417,1,2,1,2,"Latino Off-Campus Working","non_FASt_1_11",0.60168220342871
1,6,-0.527,6,5,-1.0448,0,1,0.7532,0,-0.3436,5,0.512,1,-1.301,3,-6.7624,0,-2.9496,1,"Hispanic/Latino","On-campus (residence hall)","Male",1,0.7518,10,0,-0.2,-0.28456,0,22,1.7,2.7,3,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,4,4,4,6,5,6,5,6,1418,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.689681551035595
1,8,1.473,6,6,-0.0448000000000004,0,0,-0.2468,1,0.6564,6,1.512,3,0.699,8,-1.7624,0,-2.9496,0,"Asian","With family (commuting)","Female",0,-0.2482,49,1,3.7,3.61544,3.61544,5,0,1,2,3,3,3,2,3,2,3,3,3,3,3,3,1,2,5,4,4,4,4,4,5,5,4,5,5,1419,2,6,1,3,"Asian High-Pressure Achiever","FASt_12plus",1.76941766589489
0,7,0.473,6,7,0.9552,0,0,-0.2468,1,0.6564,4,-0.488,2,-0.301,8,-1.7624,3,0.0503999999999998,0,"Asian","With family (commuting)","Female",0,-0.2482,42,1,3,2.91544,2.91544,-11,-1.6,-0.6,3,3,3,4,4,4,3,4,3,3,2,2,2,3,3,4,4,4,4,4,4,NA,5,4,4,4,1420,2,6,1,3,"Asian High-Pressure Achiever","FASt_12plus",1.84565032600196
0,5,-1.527,6,5,-1.0448,1,1,0.7532,1,0.6564,4,-0.488,2,-0.301,23,13.2376,0,-2.9496,0,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2482,17,1,0.5,0.41544,0.41544,23,1.8,2.8,2,3,3,2,2,1,2,3,3,3,2,3,3,2,2,4,NA,4,5,4,5,5,5,5,5,5,1421,2,5,1,2,"Latino Off-Campus Working","FASt_12plus",1.78377029243089
0,7,0.473,7,6,-0.0448000000000004,0,0,-0.2468,0,-0.3436,3,-1.488,2,-0.301,8,-1.7624,3,0.0503999999999998,1,"Hispanic/Latino","With family (commuting)","Female",1,0.7518,6,0,-0.6,-0.68456,0,24,1.9,2.9,3,2,2,3,3,3,3,3,3,2,2,3,3,3,4,3,3,4,3,3,4,5,5,6,5,5,1422,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.606756796198303
0,7,0.473,7,5,-1.0448,1,0,-0.2468,1,0.6564,4,-0.488,2,-0.301,3,-6.7624,3,0.0503999999999998,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2482,8,0,-0.4,-0.48456,0,11,0.6,1.6,3,3,3,2,2,2,3,3,2,2,1,2,2,3,3,3,4,3,4,4,4,4,4,4,3,4,1423,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11",0.683705124439115
