"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hprecalc13","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","hacadpr13","hacadpr13_num","hacadpr13_num_c","tcare","tcare_num","tcare_num_c","firstgen","re_all","living18","sex","StemMaj","StemMaj_c","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","SFcareer","SFotherwork","SFdiscuss","SFperform","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band"
1,8,1.47774601878318,7,6,-0.0408830744071951,0,0,1,4,-0.498266367530084,2,-0.31734693877551,2,3,-7.1922,1,0,-2.5048,0,"Asian","With family (commuting)","Male",1,0.7598,27,1,1.5,0.952739999999996,0.952739999999996,21,1.6,2.6,2,NA,1,3,2,2,2,2,3,3,3,2,3,4,4,5,5,5,5,4,5,5,5,5,6,5,2,3,1,2,925,2,7,1,3,"Asian High-Pressure Achiever","FASt_12plus"
1,8,1.47774601878318,7,5,-1.0408830744072,0,0,0,5,0.501733632469916,2,-0.31734693877551,4,13,2.8078,2,3,0.4952,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2402,9,0,-0.3,-0.847260000000004,0,26,2.1,3.1,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,5,4,4,4,4,4,7,7,7,NA,7,2,1,2,2,926,1,3,1,2,"Latino Off-Campus Working","non_FASt_1_11"
0,7,0.477746018783177,7,5,-1.0408830744072,1,0,0,NA,NA,2,-0.31734693877551,2,3,-7.1922,1,0,-2.5048,0,"White","Off-campus (rent/apartment)","Male",0,-0.2402,11,0,-0.1,-0.647260000000004,0,-14,-1.9,-0.9,3,2,2,3,2,2,2,3,1,2,2,2,2,3,3,4,5,4,4,5,5,6,6,6,6,5,2,2,2,2,927,1,1,0,13,"White Working-Class Striver","non_FASt_1_11"
1,7,0.477746018783177,7,6,-0.0408830744071951,0,1,1,5,0.501733632469916,1,-1.31734693877551,3,8,-2.1922,1,0,-2.5048,0,"Asian","With family (commuting)","Female",0,-0.2402,38,1,2.6,2.05274,2.05274,4,-0.1,0.9,2,1,2,3,3,3,2,2,3,4,3,3,3,2,2,4,4,5,4,5,4,3,3,3,3,3,1,1,1,1,928,2,4,1,3,"Asian High-Pressure Achiever","FASt_12plus"
0,6,-0.522253981216823,7,6,-0.0408830744071951,0,0,0,3,-1.49826636753008,4,1.68265306122449,5,18,7.8078,1,0,-2.5048,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2402,4,0,-0.8,-1.34726,0,25,2,3,2,3,3,3,3,3,3,2,2,1,3,2,1,3,4,4,4,5,4,4,6,5,5,5,5,5,4,2,2,2,929,1,3,1,2,"Latino Off-Campus Working","non_FASt_1_11"
1,8,1.47774601878318,7,7,0.959116925592805,0,1,0,5,0.501733632469916,1,-1.31734693877551,3,8,-2.1922,1,0,-2.5048,0,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,22,1,1,0.452739999999996,0.452739999999996,23,1.8,2.8,3,3,3,4,4,4,4,4,2,2,3,2,2,2,2,5,5,5,NA,5,5,3,4,4,4,4,1,2,3,3,930,2,5,1,1,"Latina Commuter Caretaker","FASt_12plus"
0,7,0.477746018783177,7,7,0.959116925592805,0,0,0,6,1.50173363246992,3,0.68265306122449,6,23,12.8078,2,3,0.4952,0,"Asian","With family (commuting)","Female",1,0.7598,8,0,-0.4,-0.947260000000004,0,8,0.3,1.3,3,3,3,3,3,3,3,3,3,4,3,4,2,3,3,5,5,5,6,6,6,6,5,5,5,5,3,1,1,2,931,1,3,1,3,"Asian High-Pressure Achiever","non_FASt_1_11"
0,6,-0.522253981216823,7,7,0.959116925592805,1,1,0,4,-0.498266367530084,3,0.68265306122449,2,3,-7.1922,1,0,-2.5048,1,"Hispanic/Latino","On-campus (residence hall)","Female",1,0.7598,14,1,0.2,-0.347260000000004,-0.347260000000004,14,0.9,1.9,2,3,3,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,3,2,4,2,932,2,7,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
1,7,0.477746018783177,7,5,-1.0408830744072,1,0,0,4,-0.498266367530084,2,-0.31734693877551,4,13,2.8078,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,4,0,-0.8,-1.34726,0,0,-0.5,0.5,3,3,3,4,3,3,3,4,2,2,3,2,3,2,2,4,4,4,4,4,5,5,5,5,5,5,2,1,2,1,933,1,1,0,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,7,0.477746018783177,7,5,-1.0408830744072,1,1,NA,2,-2.49826636753008,3,0.68265306122449,2,3,-7.1922,1,0,-2.5048,1,"Hispanic/Latino","On-campus (residence hall)","Male",1,0.7598,3,0,-0.9,-1.44726,0,3,-0.2,0.8,3,3,3,4,4,4,4,4,4,3,4,4,3,3,3,3,4,3,4,3,3,6,7,6,7,NA,3,2,1,1,934,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,6,-0.522253981216823,7,6,-0.0408830744071951,0,0,0,4,-0.498266367530084,NA,NA,3,8,-2.1922,1,0,-2.5048,0,"","Off-campus (rent/apartment)","Female",0,-0.2402,6,0,-0.6,-1.14726,0,12,0.7,1.7,1,1,1,2,2,3,2,3,3,4,3,3,4,2,3,4,5,4,4,4,5,NA,4,4,4,4,2,3,3,2,935,1,3,1,7,"White Off-Campus Working","non_FASt_1_11"
0,7,0.477746018783177,6,8,1.9591169255928,0,0,0,5,0.501733632469916,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,NA,"White","Off-campus (rent/apartment)","Female",0,-0.2402,5,0,-0.7,-1.24726,0,9,0.4,1.4,4,3,4,2,2,3,2,2,2,2,2,2,2,2,2,4,3,4,3,NA,NA,4,4,NA,4,4,3,3,1,1,936,1,3,1,13,"White Working-Class Striver","non_FASt_1_11"
0,8,1.47774601878318,7,5,-1.0408830744072,1,0,1,4,-0.498266367530084,2,-0.31734693877551,3,8,-2.1922,1,0,-2.5048,1,"Black/African American","Off-campus (rent/apartment)","Male",0,-0.2402,52,1,4,3.45274,3.45274,-11,-1.6,-0.6,2,2,3,3,3,2,3,3,3,3,3,3,2,3,3,4,4,4,4,4,4,3,4,4,4,5,2,2,3,3,937,2,4,1,12,"Black Male Striver","FASt_12plus"
0,7,0.477746018783177,7,5,-1.0408830744072,NA,0,0,5,0.501733632469916,2,-0.31734693877551,3,8,-2.1922,2,3,0.4952,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,7,0,-0.5,-1.04726,0,12,0.7,1.7,4,4,4,3,4,4,3,3,4,3,3,4,3,3,3,5,4,4,5,4,5,7,7,7,7,7,2,2,3,3,938,1,3,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,6,-0.522253981216823,7,5,-1.0408830744072,1,1,1,4,-0.498266367530084,2,-0.31734693877551,4,13,2.8078,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,29,1,1.7,1.15274,1.15274,3,-0.2,0.8,2,2,2,3,3,4,3,4,3,3,2,3,3,3,4,4,3,4,4,4,5,6,6,5,NA,6,2,2,2,2,939,2,7,1,1,"Latina Commuter Caretaker","FASt_12plus"
1,5,-1.52225398121682,7,5,-1.0408830744072,1,0,0,5,0.501733632469916,3,0.68265306122449,2,3,-7.1922,1,0,-2.5048,1,"White","Off-campus (rent/apartment)","Male",0,-0.2402,3,0,-0.9,-1.44726,0,31,2.6,3.6,3,3,3,4,3,3,3,2,2,2,2,2,2,2,3,3,4,4,4,3,3,6,6,NA,6,6,3,3,2,2,940,1,1,0,13,"White Working-Class Striver","non_FASt_1_11"
1,6,-0.522253981216823,7,6,-0.0408830744071951,1,0,1,4,-0.498266367530084,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,-0.2402,0,0,-1.2,-1.74726,0,-1,-0.6,0.4,4,3,4,3,2,2,3,2,3,3,3,4,4,3,3,4,4,4,4,3,4,6,6,6,6,6,3,1,2,3,941,0,1,0,9,"Hispanic On-Campus Transitioner","non_DE"
0,7,0.477746018783177,7,6,-0.0408830744071951,1,0,1,4,-0.498266367530084,4,1.68265306122449,2,3,-7.1922,1,0,-2.5048,1,"Asian","","Male",0,-0.2402,23,1,1.1,0.552739999999996,0.552739999999996,-10,-1.5,-0.5,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,6,6,6,6,6,6,5,6,6,6,7,4,2,2,2,942,2,6,1,4,"Asian First-Gen Navigator","FASt_12plus"
0,8,1.47774601878318,7,6,-0.0408830744071951,0,0,0,4,-0.498266367530084,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,74,1,6.2,5.65274,5.65274,7,0.2,1.2,NA,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,2,NA,3,3,4,4,4,4,4,4,3,2,2,2,943,2,4,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
0,6,-0.522253981216823,7,5,-1.0408830744072,0,1,1,5,0.501733632469916,3,0.68265306122449,2,3,-7.1922,2,3,0.4952,0,"White","On-campus (residence hall)","Female",0,-0.2402,6,0,-0.6,-1.14726,0,34,2.9,3.9,3,3,3,3,3,3,3,3,3,2,2,3,3,4,4,3,3,2,2,3,3,3,4,4,4,4,3,3,2,3,944,1,1,0,10,"Continuing-Gen Cruiser","non_FASt_1_11"
1,7,0.477746018783177,7,7,0.959116925592805,0,1,1,4,-0.498266367530084,2,-0.31734693877551,6,23,12.8078,1,0,-2.5048,0,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Male",1,0.7598,69,1,5.7,5.15274,5.15274,3,-0.2,0.8,3,3,3,3,4,3,3,4,2,3,2,2,2,2,2,4,5,4,4,5,4,5,5,5,5,5,2,1,3,1,945,2,5,1,8,"Multiracial Bridge-Builder","FASt_12plus"
0,6,-0.522253981216823,7,6,-0.0408830744071951,0,0,1,4,-0.498266367530084,1,-1.31734693877551,3,8,-2.1922,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,5,0,-0.7,-1.24726,0,13,0.8,1.8,1,NA,2,3,3,3,2,3,2,2,3,3,2,2,2,4,4,4,4,4,5,4,4,4,4,5,1,2,3,2,946,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,6,-0.522253981216823,6,5,-1.0408830744072,0,0,1,2,-2.49826636753008,2,-0.31734693877551,5,18,7.8078,1,0,-2.5048,0,"Asian","With family (commuting)","Female",0,-0.2402,2,0,-1,-1.54726,0,1,-0.4,0.6,2,2,2,3,4,3,4,4,2,2,2,2,2,3,4,4,5,4,4,4,NA,6,6,5,6,6,2,2,4,1,947,1,2,1,3,"Asian High-Pressure Achiever","non_FASt_1_11"
1,7,0.477746018783177,7,5,-1.0408830744072,0,1,0,5,0.501733632469916,1,-1.31734693877551,2,3,-7.1922,2,3,0.4952,0,"Hispanic/Latino","On-campus (residence hall)","Male",1,0.7598,80,1,6.8,6.25274,6.25274,10,0.5,1.5,4,4,4,4,3,3,4,3,4,4,4,4,3,3,3,4,4,4,3,4,4,4,5,4,4,5,1,3,3,2,948,2,4,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
1,NA,NA,7,6,-0.0408830744071951,1,0,1,5,0.501733632469916,1,-1.31734693877551,4,13,2.8078,1,0,-2.5048,0,"White","Off-campus (rent/apartment)","Male",1,0.7598,2,0,-1,-1.54726,0,7,0.2,1.2,3,3,2,3,1,2,3,2,2,3,2,2,2,3,3,2,2,2,2,2,1,5,5,5,5,5,1,2,2,2,949,1,2,1,7,"White Off-Campus Working","non_FASt_1_11"
1,5,-1.52225398121682,7,6,-0.0408830744071951,1,0,1,6,1.50173363246992,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,10,0,-0.2,-0.747260000000004,0,20,1.5,2.5,2,2,2,3,4,3,4,4,2,2,1,2,1,2,2,4,4,4,3,4,4,4,5,5,5,5,3,2,3,3,950,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,8,1.47774601878318,7,6,-0.0408830744071951,0,0,1,5,0.501733632469916,2,-0.31734693877551,2,3,-7.1922,1,0,-2.5048,0,"Other/Multiracial/Unknown","With family (commuting)","Male",0,-0.2402,7,0,-0.5,-1.04726,0,20,1.5,2.5,2,2,NA,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,3,NA,5,5,5,5,2,2,1,1,951,1,1,0,8,"Multiracial Bridge-Builder","non_FASt_1_11"
0,6,-0.522253981216823,6,6,-0.0408830744071951,0,0,0,2,-2.49826636753008,1,-1.31734693877551,3,8,-2.1922,1,0,-2.5048,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,6,0,-0.6,-1.14726,0,23,1.8,2.8,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,5,6,5,5,6,6,3,3,3,3,2,1,1,2,1,952,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,7,0.477746018783177,7,6,-0.0408830744071951,1,0,0,NA,NA,4,1.68265306122449,2,3,-7.1922,5,18,15.4952,1,"White","Off-campus (rent/apartment)","Male",0,-0.2402,20,1,0.8,0.252739999999996,0.252739999999996,22,1.7,2.7,3,2,2,2,2,3,3,3,2,1,2,2,3,3,3,4,5,5,4,5,6,2,3,3,3,3,4,2,3,3,953,2,6,1,13,"White Working-Class Striver","FASt_12plus"
1,8,1.47774601878318,7,6,-0.0408830744071951,0,0,0,3,-1.49826636753008,2,-0.31734693877551,4,13,2.8078,1,0,-2.5048,1,"","On-campus (residence hall)","Female",0,-0.2402,2,0,-1,-1.54726,0,12,0.7,1.7,3,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,2,3,3,3,3,7,NA,7,7,7,2,2,2,3,954,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,6,-0.522253981216823,6,6,-0.0408830744071951,0,0,1,6,1.50173363246992,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,0,"Hispanic/Latino","On-campus (residence hall)","Male",1,0.7598,24,1,1.2,0.652739999999996,0.652739999999996,1,-0.4,0.6,3,3,3,2,3,2,3,2,4,4,4,4,4,2,2,2,3,NA,2,2,3,NA,4,4,4,3,3,2,2,2,955,2,4,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
0,7,0.477746018783177,7,5,-1.0408830744072,1,0,1,5,0.501733632469916,3,0.68265306122449,3,8,-2.1922,2,3,0.4952,1,"Hispanic/Latino","With family (commuting)","Female",1,0.7598,4,0,-0.8,-1.34726,0,11,0.6,1.6,2,3,2,4,4,4,3,4,1,1,1,1,2,3,3,4,3,NA,3,4,4,4,5,4,5,5,3,2,1,2,956,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,7,0.477746018783177,7,5,-1.0408830744072,0,1,1,4,-0.498266367530084,3,0.68265306122449,4,13,2.8078,3,8,5.4952,0,"White","On-campus (residence hall)","Male",0,-0.2402,60,1,4.8,4.25274,4.25274,11,0.6,1.6,4,4,4,3,4,3,3,3,3,2,2,2,2,4,4,3,3,3,3,3,3,7,7,7,7,7,3,2,3,2,957,2,4,1,6,"White Residential Traditional","FASt_12plus"
0,8,1.47774601878318,7,6,-0.0408830744071951,0,0,0,4,-0.498266367530084,4,1.68265306122449,2,3,-7.1922,2,3,0.4952,0,"Asian","Off-campus (rent/apartment)","Female",0,-0.2402,47,1,3.5,2.95274,2.95274,16,1.1,2.1,3,3,2,3,3,3,4,2,1,2,1,2,2,3,3,6,6,6,5,5,6,2,NA,2,2,3,4,2,3,2,958,2,6,1,4,"Asian First-Gen Navigator","FASt_12plus"
0,6,-0.522253981216823,7,6,-0.0408830744071951,1,0,NA,7,2.50173363246992,2,-0.31734693877551,5,18,7.8078,1,0,-2.5048,1,"Hispanic/Latino","On-campus (residence hall)","Female",1,0.7598,9,0,-0.3,-0.847260000000004,0,5,0,1,4,4,4,3,2,2,3,3,4,4,4,4,4,3,3,3,2,NA,3,3,3,5,5,5,5,6,2,3,4,2,959,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,5,-1.52225398121682,7,8,1.9591169255928,0,0,0,3,-1.49826636753008,1,-1.31734693877551,2,3,-7.1922,1,0,-2.5048,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,24,1,1.2,0.652739999999996,0.652739999999996,28,2.3,3.3,2,3,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,4,4,3,3,5,NA,5,5,6,1,1,2,3,960,2,5,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
0,6,-0.522253981216823,6,5,-1.0408830744072,1,0,1,4,-0.498266367530084,1,-1.31734693877551,3,8,-2.1922,1,0,-2.5048,1,"White","Off-campus (rent/apartment)","Female",0,-0.2402,3,0,-0.9,-1.44726,0,-13,-1.8,-0.8,2,2,NA,2,2,3,4,3,2,2,2,1,2,3,3,5,5,5,5,5,5,5,5,6,5,5,1,3,3,2,961,1,1,0,7,"White Off-Campus Working","non_FASt_1_11"
0,5,-1.52225398121682,7,7,0.959116925592805,0,0,0,4,-0.498266367530084,2,-0.31734693877551,5,18,7.8078,1,0,-2.5048,0,"Other/Multiracial/Unknown","With family (commuting)","Female",0,-0.2402,5,0,-0.7,-1.24726,0,-12,-1.7,-0.7,1,1,1,3,4,3,3,4,3,3,3,4,3,2,2,4,4,4,4,4,4,5,5,5,5,NA,2,2,3,2,962,1,2,1,8,"Multiracial Bridge-Builder","non_FASt_1_11"
0,6,-0.522253981216823,7,6,-0.0408830744071951,0,0,0,5,0.501733632469916,3,0.68265306122449,4,13,2.8078,5,18,15.4952,0,"Hispanic/Latino","With family (commuting)","Female",1,0.7598,10,0,-0.2,-0.747260000000004,0,17,1.2,2.2,2,2,3,3,4,4,4,4,3,3,3,2,3,3,3,4,3,4,4,3,4,5,4,4,4,4,3,1,2,2,963,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,6,-0.522253981216823,6,7,0.959116925592805,0,0,0,6,1.50173363246992,2,-0.31734693877551,2,3,-7.1922,1,0,-2.5048,1,"Asian","Off-campus (rent/apartment)","Male",0,-0.2402,4,0,-0.8,-1.34726,0,4,-0.1,0.9,3,2,3,3,4,4,4,4,3,2,3,2,2,3,3,4,4,4,4,NA,4,4,4,4,4,4,2,3,3,2,964,1,2,1,4,"Asian First-Gen Navigator","non_FASt_1_11"
0,8,1.47774601878318,7,7,0.959116925592805,0,0,1,4,-0.498266367530084,1,-1.31734693877551,2,3,-7.1922,3,8,5.4952,1,"Hispanic/Latino","With family (commuting)","Female",0,-0.2402,2,0,-1,-1.54726,0,8,0.3,1.3,3,4,3,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,3,1,3,2,2,965,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,6,-0.522253981216823,7,7,0.959116925592805,0,0,0,3,-1.49826636753008,2,-0.31734693877551,5,18,7.8078,3,8,5.4952,1,"Asian","Off-campus (rent/apartment)","Female",1,0.7598,14,1,0.2,-0.347260000000004,-0.347260000000004,24,1.9,2.9,1,1,1,4,4,4,4,3,1,2,1,1,2,3,3,4,5,5,5,5,4,4,5,5,4,5,2,2,2,2,966,2,6,1,4,"Asian First-Gen Navigator","FASt_12plus"
1,5,-1.52225398121682,6,5,-1.0408830744072,1,0,0,5,0.501733632469916,4,1.68265306122449,2,3,-7.1922,1,0,-2.5048,0,"White","Off-campus (rent/apartment)","Male",0,-0.2402,11,0,-0.1,-0.647260000000004,0,-5,-1,0,4,4,NA,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,2,3,2,967,1,2,1,7,"White Off-Campus Working","non_FASt_1_11"
1,5,-1.52225398121682,6,6,-0.0408830744071951,1,0,0,4,-0.498266367530084,2,-0.31734693877551,3,8,-2.1922,1,0,-2.5048,1,"White","Off-campus (rent/apartment)","Female",0,-0.2402,4,0,-0.8,-1.34726,0,18,1.3,2.3,1,1,1,3,2,3,3,3,2,3,3,2,2,3,3,4,4,4,4,4,4,NA,4,4,4,3,2,2,2,1,968,1,3,1,7,"White Off-Campus Working","non_FASt_1_11"
0,6,-0.522253981216823,7,5,-1.0408830744072,1,0,1,5,0.501733632469916,1,-1.31734693877551,4,13,2.8078,1,0,-2.5048,1,"White","Off-campus (rent/apartment)","Male",0,-0.2402,7,0,-0.5,-1.04726,0,12,0.7,1.7,2,2,2,3,4,4,4,4,3,2,2,2,2,3,3,4,4,3,4,4,3,4,4,4,4,4,1,3,2,3,969,1,3,1,7,"White Off-Campus Working","non_FASt_1_11"
1,7,0.477746018783177,7,8,1.9591169255928,1,0,0,5,0.501733632469916,3,0.68265306122449,2,3,-7.1922,3,8,5.4952,0,"Hispanic/Latino","With family (commuting)","Female",1,0.7598,6,0,-0.6,-1.14726,0,16,1.1,2.1,4,4,4,3,3,3,3,2,4,3,3,3,3,4,4,2,2,2,2,2,3,6,5,6,6,7,3,2,2,2,970,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
1,5,-1.52225398121682,7,5,-1.0408830744072,0,0,1,4,-0.498266367530084,1,-1.31734693877551,3,8,-2.1922,1,0,-2.5048,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,4,0,-0.8,-1.34726,0,5,0,1,4,NA,4,2,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,5,5,5,5,5,1,1,3,2,971,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,7,0.477746018783177,7,7,0.959116925592805,0,0,0,6,1.50173363246992,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,0,"White","Off-campus (rent/apartment)","Female",0,-0.2402,5,0,-0.7,-1.24726,0,20,1.5,2.5,3,3,3,4,4,3,3,3,2,3,1,2,2,3,3,5,5,5,5,5,4,5,5,5,5,5,3,1,2,3,972,1,1,0,7,"White Off-Campus Working","non_FASt_1_11"
0,7,0.477746018783177,7,8,1.9591169255928,1,1,1,6,1.50173363246992,1,-1.31734693877551,5,18,7.8078,1,0,-2.5048,1,"Other/Multiracial/Unknown","With family (commuting)","Male",0,-0.2402,60,1,4.8,4.25274,4.25274,24,1.9,2.9,3,2,3,3,3,3,4,3,3,3,3,2,3,3,3,NA,4,5,5,5,5,4,4,4,5,5,1,3,3,3,973,2,5,1,8,"Multiracial Bridge-Builder","FASt_12plus"
0,7,0.477746018783177,7,6,-0.0408830744071951,0,1,0,6,1.50173363246992,2,-0.31734693877551,4,13,2.8078,1,0,-2.5048,0,"White","Off-campus (rent/apartment)","Male",1,0.7598,2,0,-1,-1.54726,0,5,0,1,1,2,2,2,3,3,3,3,3,3,2,2,3,2,3,4,4,4,4,3,4,3,3,3,3,3,2,2,1,2,974,1,3,1,13,"White Working-Class Striver","non_FASt_1_11"
1,6,-0.522253981216823,6,6,-0.0408830744071951,0,1,1,6,1.50173363246992,3,0.68265306122449,5,18,7.8078,1,0,-2.5048,0,"White","On-campus (residence hall)","Male",0,-0.2402,69,1,5.7,5.15274,5.15274,-10,-1.5,-0.5,4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,2,3,2,2,3,2,6,6,6,7,6,3,3,1,3,975,2,7,1,6,"White Residential Traditional","FASt_12plus"
0,8,1.47774601878318,7,7,0.959116925592805,1,0,0,5,0.501733632469916,2,-0.31734693877551,3,8,-2.1922,1,0,-2.5048,1,"Hispanic/Latino","Off-campus (rent/apartment)","Male",0,-0.2402,11,0,-0.1,-0.647260000000004,0,-13,-1.8,-0.8,2,2,2,3,2,4,3,3,3,3,4,4,3,2,2,3,4,3,3,4,3,3,3,3,3,2,2,1,3,4,976,1,2,1,2,"Latino Off-Campus Working","non_FASt_1_11"
0,6,-0.522253981216823,7,5,-1.0408830744072,0,0,0,5,0.501733632469916,2,-0.31734693877551,5,18,7.8078,1,0,-2.5048,0,"Black/African American","Off-campus (rent/apartment)","Male",0,-0.2402,5,0,-0.7,-1.24726,0,-13,-1.8,-0.8,3,NA,3,3,3,3,3,3,2,1,2,2,2,3,3,4,NA,4,4,5,4,4,4,4,3,3,2,2,1,2,977,1,1,0,12,"Black Male Striver","non_FASt_1_11"
0,7,0.477746018783177,6,6,-0.0408830744071951,0,1,1,4,-0.498266367530084,2,-0.31734693877551,3,8,-2.1922,1,0,-2.5048,1,"Asian","With family (commuting)","Male",1,0.7598,4,0,-0.8,-1.34726,0,-2,-0.7,0.3,2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,NA,NA,5,4,4,4,6,5,5,5,5,2,2,2,2,978,1,2,1,3,"Asian High-Pressure Achiever","non_FASt_1_11"
0,7,0.477746018783177,6,6,-0.0408830744071951,0,0,0,4,-0.498266367530084,3,0.68265306122449,6,23,12.8078,1,0,-2.5048,0,"","Off-campus (rent/apartment)","Male",0,-0.2402,23,1,1.1,0.552739999999996,0.552739999999996,12,0.7,1.7,2,2,2,1,1,1,1,2,2,2,1,1,2,3,3,5,4,5,5,5,4,6,NA,6,5,5,3,2,2,3,979,2,6,1,2,"Latino Off-Campus Working","FASt_12plus"
1,NA,NA,7,5,-1.0408830744072,0,0,0,5,0.501733632469916,3,0.68265306122449,3,8,-2.1922,2,3,0.4952,0,"Hispanic/Latino","On-campus (residence hall)","Female",1,0.7598,8,0,-0.4,-0.947260000000004,0,8,0.3,1.3,4,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2,2,3,3,4,5,5,5,5,3,2,1,3,980,1,1,0,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,8,1.47774601878318,7,5,-1.0408830744072,1,1,0,2,-2.49826636753008,3,0.68265306122449,3,8,-2.1922,1,0,-2.5048,0,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,11,0,-0.1,-0.647260000000004,0,12,0.7,1.7,NA,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3,3,4,3,4,4,4,4,4,4,3,3,1,2,1,981,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
0,6,-0.522253981216823,7,5,-1.0408830744072,0,1,1,4,-0.498266367530084,2,-0.31734693877551,6,23,12.8078,1,0,-2.5048,0,"Asian","With family (commuting)","Female",0,-0.2402,10,0,-0.2,-0.747260000000004,0,12,0.7,1.7,1,1,1,3,3,3,3,3,3,3,3,2,2,3,3,4,4,4,4,5,5,5,5,5,4,5,2,2,2,3,982,1,1,0,3,"Asian High-Pressure Achiever","non_FASt_1_11"
1,5,-1.52225398121682,7,5,-1.0408830744072,1,0,0,4,-0.498266367530084,2,-0.31734693877551,2,3,-7.1922,2,3,0.4952,1,"Hispanic/Latino","On-campus (residence hall)","Female",0,-0.2402,12,1,0,-0.547260000000004,-0.547260000000004,32,2.7,3.7,3,3,3,2,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,4,7,7,7,7,7,2,3,2,1,983,2,4,1,9,"Hispanic On-Campus Transitioner","FASt_12plus"
